IAGA_code	Name	Country_code	Latitude	Longitude	Elevation	Data_embargo	Plot_embargo	Notes
AAE	Addis Ababa, Ethiopia	ET	9.035	38.770	2441	0	0	closed
ABG	Alibag, India	IN	18.638	72.872	7	0	0	 
ABK	Abisko, Sweden	SW	68.358	18.823	380	0	0	 
AIA	Vernadsky, Agentine Islands	UA	-65.245	295.742	10	0	0	 
ALE	Alert, Canada	CA	82.497	297.647	60	0	0	closed
AMS	Martin de Vivies, French Southern Territories	FR	-37.800	77.570	50	0	0	no longer IMO
API	Apia, Western Samoa	WS	-13.816	188.219	2	0	0	 
AQU	L'Aquila, Italy	IT	42.380	13.320	682	0	0	closed
ARS	Arti, Russia	RU	56.433	58.567	290	0	0	 
ASC	Ascension Island	UK	-7.950	345.620	177	24	0	 
ASP	Alice Springs, Australia	AS	-23.762	133.883	557	0	0	 
BDV	Budkov, Czech Republic	EZ	49.080	14.020	496	0	0	 
BEL	Belsk, Poland	PL	51.836	20.789	180	0	0	 
BFE	Brorfelde, Denmark	DA	55.625	11.672	80	0	0	 
BFO	Black Forest Observatory, Germany	DE	48.331	8.325	641	0	0	 
BLC	Baker Lake, Canada	CA	64.318	263.988	30	24	24	 
BMT	Beijing Ming Tombs, China	CN	40.300	116.200	183	0	0	 
BNG	Bangui, Central African Republic	CF	4.330	18.570	395	0	0	closed
BOU	Boulder, USA	US	40.140	254.767	1682	0	0	 
BOX	Borok, Russia	RU	58.070	38.230	115	0	0	 
BRD	Brandon, Canada	CA	49.870	260.026	380	24	24	 
BRW	Barrow, USA	US	71.320	203.380	12	0	0	 
BSL	Stennis Space Center, USA	US	30.350	270.360	8	0	0	 
CBB	Cambridge Bay, Canada	CA	69.123	254.969	20	24	24	 
CKI	Cokos (Keeling) Islands, Australia	AS	-12.188	96.834	3	0	0	 
CLF	Chambon la Foret, France	FR	48.025	2.260	145	0	0	 
CMO	College, USA	US	64.870	212.140	197	0	0	 
CNB	Canberra, Australia	AS	-35.320	149.360	859	0	0	 
CNH	Changchun, China	CH	44.080	124.860	187	0	0	 
CPL	Choutuppal, India	IN	17.294	78.919	360	0	0	 
CSY	Casey, Australia	AU	-66.283	110.533	41	0	0	 
CTA	Charters Towers, Australia	AS	-20.090	146.264	370	0	0	 
CYG	Cheongyang, Republic of Korea	KR	36.370	126.854	165	0	0	 
CZT	Port Alfred, French Southern Territories	FR	-46.430	51.860	160	0	0	no longer IMO
DED	Deadhorse, USA	US	70.360	211.210	10	0	0	 
DLR	Del Rio, USA	US	29.490	259.083	355	0	0	closed
DLT	Dalat, Vietnam	VN	11.950	108.480	1583	0	0	 
DMC	Dome Concordia, Antarctica	FR	-75.250	124.167	3250	0	0	no longer IMO
DOU	Dourbes, Belgium	BE	50.100	4.600	225	0	0	 
DRV	Dumont d'Urville, French Southern Territories	FR	-66.670	140.010	30	0	0	no longer IMO
DUR	Duronia, Italy	IT	41.650	14.470	920	0	0	 
EBR	Ebro, Spain	ES	40.957	0.333	532	0	0	 
ESK	Eskdalemuir, United Kingdom	UK	55.314	356.794	245	240	0	 
EYR	Eyrewell, New Zealand	NZ	-43.474	172.393	102	0	0	 
FCC	Fort Churchill, Canada	CA	58.759	265.912	15	24	24	 
